,VITRY:PM10,VITRY:PM25,VITRY:NO2,VITRY:SO2,VITRY:NO,VITRY:NOX,VITRY:O3,OBJECTID
,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,VITRY-SUR-SEINE,0
,VITRY,VITRY,VITRY,VITRY,VITRY,VITRY,VITRY,1
,PM 10 particules,"PM 2,5 particules",dioxyde d azote,dioxyde de soufre,monoxyde d azote,oxydes d azote,ozone,2
,PM10,PM25,NO2,SO2,NO,NOX,O3,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/01 01:00:00+00,50.800000,43.500000,42.400000,1.700000,18.500000,70.700000,2.500000,5
2021/01/01 02:00:00+00,44.700000,39.600000,39.700000,1.900000,14.500000,62,2.100000,6
2021/01/01 03:00:00+00,42.800000,37.900000,38.500000,1.700000,18.700000,67.100000,2.100000,7
2021/01/01 04:00:00+00,38.900000,39.400000,38.200000,1.700000,16.600000,63.700000,2.100000,8
2021/01/01 05:00:00+00,36.600000,35.400000,36.900000,1.400000,19.600000,67.100000,1.800000,9
2021/01/01 06:00:00+00,31.200000,29,36.600000,1.600000,28.400000,80.100000,1.900000,10
2021/01/01 07:00:00+00,35.300000,30.700000,39.200000,1.600000,36.900000,95.800000,2.200000,11
2021/01/01 08:00:00+00,20.200000,17.300000,44.700000,1.100000,10.300000,60.500000,3.300000,12
2021/01/01 09:00:00+00,18.600000,16.900000,37,0.800000,13.300000,57.300000,8.300000,13
2021/01/01 10:00:00+00,21.900000,22.100000,34.200000,1.200000,15.500000,58,14.500000,14
2021/01/01 11:00:00+00,19,15.500000,26.300000,1.800000,9.300000,40.600000,26.100000,15
2021/01/01 12:00:00+00,20.300000,14.100000,20.800000,2.200000,4.700000,27.900000,34.600000,16
2021/01/01 13:00:00+00,12.900000,11.200000,18.100000,2.400000,3.300000,23.100000,42.500000,17
2021/01/01 14:00:00+00,17.600000,11.800000,21.900000,1.700000,3.800000,27.700000,38.500000,18
2021/01/01 15:00:00+00,18.600000,18.100000,30.900000,2.300000,5,38.700000,29,19
2021/01/01 16:00:00+00,19.100000,8.400000,34.200000,1.300000,3.600000,39.700000,24.200000,20
2021/01/01 17:00:00+00,18.200000,16.200000,44,1.200000,5.100000,51.800000,16.200000,21
2021/01/01 18:00:00+00,19,15.900000,44.500000,1.400000,7.800000,56.400000,14.200000,22
2021/01/01 19:00:00+00,31.400000,25.500000,62.100000,1,25.500000,101.100000,4.300000,23
2021/01/01 20:00:00+00,31,23,59.100000,1,34.200000,111.700000,2.700000,24
