NUM_POSTE;DAT;PSTATM;PMERM;TMMOY;TMSIGMA;TXMOY;TNMOY;TSVMOY;RR;NBJRR1;INST;NBPMER;NBTM;NBTX;NBTSV;NBRR;NBINS;NBJTX25;NBJTX30;NBJTX35;NBJTX40;NBJTX0;NBJTN0;NBJRR5;NBJRR10;NBJRR50;NBJRR100;NBJNEIG0;NBJNEIG1;NBJNEIG10;NBJNEIG50;NBJFF10;NBJFF20;NBJFF30;NBJVISI50;NBJVISI100;NBJVISI1000;TMXAB;TMXDAT;TMNAB;TMNDAT;TXAB;TXDAT;TNAB;TNDAT;RRAB;RRDAT;FXAB;FXDAT;NBORAGE;NBGRELE;HTX;HTN
07005;2021-10-01 00:00:00;1008.6;1017.3;11.9;1.90;16.3;8.3;11.9;79.0;12;;31;31;31;31;31;0;;;;;;;7;2;0;;;;;;15;4;0;;1;6;18.2;2021-10-19 00:00:00;9.0;2021-10-13 00:00:00;22.2;2021-10-19 00:00:00;4.0;2021-10-13 00:00:00;17.4;2021-10-02 00:00:00;24.4;2021-10-02 00:00:00;;;6;18
07015;2021-10-01 00:00:00;1011.6;1017.3;11.6;2.00;16.0;7.7;11.7;102.0;15;;31;31;31;31;31;0;;;;;;;7;2;0;;;;;;17;4;0;;1;7;17.6;2021-10-19 00:00:00;8.2;2021-10-24 00:00:00;21.5;2021-10-19 00:00:00;2.5;2021-10-24 00:00:00;25.2;2021-10-02 00:00:00;23.6;2021-10-20 00:00:00;0;;6;18
07020;2021-10-01 00:00:00;1015.0;1016.1;14.8;1.20;16.8;12.7;13.6;110.0;12;;31;31;31;31;31;0;;;;;;;6;4;0;;;;;;24;10;3;;;;17.8;2021-10-19 00:00:00;12.7;2021-10-23 00:00:00;19.2;2021-10-19 00:00:00;9.5;2021-10-16 00:00:00;25.8;2021-10-02 00:00:00;31.1;2021-10-02 00:00:00;0;1;6;18
07027;2021-10-01 00:00:00;1009.4;1017.4;12.4;1.90;17.1;8.5;12.2;84.0;10;159;31;31;31;31;31;31;;;;;;;5;1;0;;;;;;19;3;0;;2;6;19.0;2021-10-19 00:00:00;9.7;2021-10-21 00:00:00;23.4;2021-10-19 00:00:00;1.7;2021-10-24 00:00:00;31.2;2021-10-02 00:00:00;29.3;2021-10-20 00:00:00;0;;6;18
07037;2021-10-01 00:00:00;999.7;1018.0;11.1;2.10;16.2;7.4;11.3;111.0;13;;31;31;31;31;31;0;;;;;;;7;4;0;;;;;;17;3;1;;;8;17.6;2021-10-19 00:00:00;7.4;2021-10-22 00:00:00;22.2;2021-10-19 00:00:00;1.2;2021-10-24 00:00:00;28.0;2021-10-02 00:00:00;34.0;2021-10-21 00:00:00;0;;6;18
07072;2021-10-01 00:00:00;1007.4;1019.0;10.6;3.00;16.6;5.6;11.0;66.0;11;167;31;31;31;31;31;31;;;;;0;3;7;;;;;;;;9;2;0;;;11;17.0;2021-10-19 00:00:00;5.4;2021-10-17 00:00:00;23.2;2021-10-19 00:00:00;-1.2;2021-10-22 00:00:00;9.3;2021-10-31 00:00:00;29.6;2021-10-21 00:00:00;0;;6;18
07110;2021-10-01 00:00:00;1005.2;1017.0;13.0;2.00;17.3;9.1;13.3;165.0;11;148;31;31;31;31;31;31;;;;;;;8;8;0;;;;;;22;5;0;;3;13;16.9;2021-10-19 00:00:00;8.1;2021-10-22 00:00:00;21.8;2021-10-08 00:00:00;2.8;2021-10-22 00:00:00;30.6;2021-10-02 00:00:00;27.3;2021-10-02 00:00:00;1;;6;18
07117;2021-10-01 00:00:00;1009.7;1016.6;14.2;1.60;17.5;11.7;13.3;103.0;12;;31;31;31;31;31;0;;;;;;;7;5;0;;;;;;21;5;0;;;;18.0;2021-10-19 00:00:00;10.3;2021-10-23 00:00:00;21.3;2021-10-19 00:00:00;8.1;2021-10-23 00:00:00;18.8;2021-10-19 00:00:00;29.7;2021-10-20 00:00:00;;;6;18
07130;2021-10-01 00:00:00;1013.6;1018.1;12.9;2.00;18.1;8.5;12.6;109.0;11;178;31;31;31;31;31;31;;;;;;;5;3;1;;;;;;16;1;0;;6;17;18.1;2021-10-19 00:00:00;9.2;2021-10-22 00:00:00;23.1;2021-10-19 00:00:00;2.6;2021-10-22 00:00:00;53.7;2021-10-02 00:00:00;25.5;2021-10-20 00:00:00;0;;6;18
07139;2021-10-01 00:00:00;1001.1;1018.5;11.4;2.10;17.0;7.0;11.6;117.0;13;161;31;31;31;31;31;31;;;;;0;2;5;1;1;;;;;;10;2;0;1;1;17;17.4;2021-10-19 00:00:00;7.8;2021-10-22 00:00:00;22.7;2021-10-19 00:00:00;-0.3;2021-10-24 00:00:00;58.7;2021-10-02 00:00:00;24.0;2021-10-21 00:00:00;;;6;18
