RD;SECTION;TMJA_S1;TMJA_S2;TMJA_S3;TMJO_S1;TMJO_S2;TMJO_S3;T_HPM_S1;HPM_S1;T_HPS_S1;HPS_S1;T_HPM_S2;HPM_S2;T_HPS_S2;HPS_S2;SENS1_DE;SENS1_VERS;SENS2_DE;SENS2_VERS;COMMUNE_COMPTEUR;TMJA_AA;TYPE_COMPTAGE;PERIODICITE;ANNEE_COMPTAGE;MOIS_COMPTAGE;TYPE_DU_COMPTEUR;st_length_;Geo Point;Geo Shape;ID
D907;33;5436;2949;8385;6518;3758;10276;395;9h-10h;509;18h-19h;254;9h-10h;226;19h-20h;Vaucresson;Province;Vaucresson;Garches;VAUCRESSON;8385 (15);SITER;ANNUELLE;2015;365J;BOUCLES;1484.86549268;48.8372100868,2.15089309994;"{""coordinates"": [[[2.145861411167528, 48.836831198722244], [2.146558491084465, 48.83686135743661], [2.147342419347024, 48.83691281683478], [2.147952035751992, 48.83695943241104], [2.148903470838772, 48.837015672796205], [2.149262983736386, 48.83702632469089], [2.149980019055769, 48.83708628543514], [2.150004510263173, 48.83708825798234], [2.150160969521741, 48.83710196126509], [2.150292965419143, 48.83711189244673], [2.150443989738355, 48.83712465762659], [2.150551494499187, 48.837132616057865], [2.151312389310869, 48.83717669142827], [2.151443052487743, 48.837184812737746], [2.151622656737397, 48.83719957787066], [2.152396766412942, 48.837268922826134], [2.152713700892617, 48.83730084812233], [2.152772206991049, 48.83730575886708], [2.152894726270062, 48.83731202340812], [2.154106655363912, 48.837436621444866], [2.154577487862701, 48.837472327517155], [2.155196507399381, 48.8375279663777], [2.155736688374821, 48.83757225243886], [2.155872817445867, 48.83757950947398]], [[2.155953318447242, 48.837656524926906], [2.155181878259451, 48.83758992077511], [2.154580553465437, 48.837535306787146], [2.154109749384671, 48.837497801329185], [2.152884107809873, 48.83737850296194], [2.152833732238528, 48.83737634754248], [2.15277783439056, 48.83737864909845], [2.152745241374321, 48.83737212246976], [2.152714010609584, 48.837365605868676], [2.152647491410368, 48.83735074492863], [2.152456959277444, 48.837337702274795], [2.152378033297477, 48.83733174690073], [2.151485489038604, 48.8372561660476], [2.15130037744344, 48.83724495928214], [2.151202365073123, 48.83723976698954], [2.151131583774024, 48.83723566688878], [2.150938327964884, 48.837222603406126], [2.150482397717457, 48.83719238412927], [2.150410254291113, 48.83718827442052], [2.150353081682776, 48.837185170137985], [2.150223736549205, 48.8371797544996], [2.150061798909736, 48.83716781132641], [2.149261633659757, 48.83710905914036], [2.1490383053502, 48.83710207357261], [2.148896685124051, 48.83709746855883], [2.147927524076741, 48.837042001543175], [2.147422773906941, 48.83699793239848], [2.147323460032003, 48.83698912971516], [2.146901502233288, 48.83696453615209], [2.146532630230713, 48.83694301781826], [2.145873589960061, 48.83691942620775]]], ""type"": ""MultiLineString""}";33_2015
D7;137;27945;25943;53888;31987;29877;61864;1623;9h-10h;2066;19h-20h;1787;9h-10h;1930;19h-20h;Courbevoie;Asnières;Courbevoie;Puteaux;COURBEVOIE;53888 (15);SITER;ANNUELLE;2015;365J;BOUCLES;3865.04620981;48.9009124216,2.27659958471;"{""coordinates"": [[[2.264985212355927, 48.89679803101638], [2.266114293283478, 48.89720695477425], [2.267103124324257, 48.89759972014013], [2.267174867157538, 48.89763883021048], [2.267629243532431, 48.897821474994274], [2.267838197423635, 48.89790009456134], [2.268768534061102, 48.89828349537847], [2.269343680279711, 48.898511837286215], [2.27168074589703, 48.899356149700644], [2.272522132226868, 48.89966613438647], [2.273253513817824, 48.899942170203886], [2.274706150121371, 48.90043930815828], [2.274907129350164, 48.90050437718614], [2.27492747602115, 48.90051259481977], [2.275244055766755, 48.90060264437134], [2.275364987036376, 48.90063665115519], [2.275533507504654, 48.900681737554116], [2.275816264837977, 48.90075179636121], [2.276104392005823, 48.90082818176446], [2.276449631518784, 48.900917501616924], [2.276614086524, 48.9009607640055], [2.276656233078334, 48.900970910654124], [2.276827533093056, 48.90101241437], [2.277499123224132, 48.90117654709833], [2.278601997027049, 48.90142331413116], [2.278970133359637, 48.90153434931346], [2.279310151675368, 48.90160744162437], [2.280215434256794, 48.90184041412009], [2.28161519273629, 48.90222383460009], [2.282026792701593, 48.90234950960162], [2.282519828310884, 48.90250534875427], [2.282635150818293, 48.90255100601064], [2.282960945659609, 48.90266717040963], [2.283605173665047, 48.90293902304063], [2.284074350721916, 48.903144174806584], [2.28446032209279, 48.903348828314826], [2.284977945274064, 48.9036028296235], [2.285183960832176, 48.903700286857806], [2.285452131801179, 48.9038412811819], [2.285935847160217, 48.90408158670562], [2.286241932796504, 48.90424348990329], [2.28656029729821, 48.9044054647486], [2.287096962663511, 48.90466496582882], [2.287473434954254, 48.90486775427049], [2.287515376172716, 48.90489318427617], [2.287658924820644, 48.90497048047973], [2.287688737328602, 48.90498504700827], [2.287765974719855, 48.90502327779677], [2.287775449464986, 48.90502872969042], [2.287822873021391, 48.90505239392625], [2.287894691184241, 48.90508789401551], [2.287902826059025, 48.90509153984862], [2.287923152501658, 48.9051015536942], [2.288047788445922, 48.90516524607377]], [[2.26508288937919, 48.897028858325], [2.266100719520237, 48.89739573046125], [2.266475418099463, 48.897521233611315], [2.266507886021285, 48.89754031839953], [2.266749823368602, 48.89760115528378], [2.266964459476077, 48.89766362370851], [2.267571010355562, 48.89788856818968], [2.267777262905662, 48.89796537291077], [2.268703558331878, 48.8983451521047], [2.26928143147314, 48.89857351073898], [2.271626758464702, 48.899412478853364], [2.272466782808482, 48.89972245532163], [2.273200891506884, 48.89999850779956], [2.274656232189401, 48.90049746211055], [2.274855860630085, 48.900561623383254], [2.274870813775089, 48.90056531129011], [2.275193926451466, 48.90067608589668], [2.275820983415668, 48.900902910504946], [2.276248714493612, 48.901043991968976], [2.276796153748572, 48.90120917673681], [2.27797728377384, 48.901419549690054], [2.278536592002176, 48.90151644940505], [2.278942069527423, 48.9015908369721], [2.279278007696039, 48.901663006290576], [2.280180576007589, 48.90189506363051], [2.281577607667924, 48.902278468409904], [2.281987868389912, 48.90240233652611], [2.282476823789509, 48.90255725198376], [2.282590795225173, 48.9026020015322], [2.282915226249359, 48.90271815756136], [2.283547117866315, 48.90299443304977], [2.284005282482901, 48.903206714832834], [2.284365338089699, 48.903411213808894], [2.284866369398942, 48.903681304080884], [2.285101937269133, 48.90381221218615], [2.285202260252799, 48.9038577764059], [2.285265927498134, 48.90389053226799], [2.285321483285296, 48.9039178435572], [2.285814624532863, 48.904167197810665], [2.28584710277615, 48.90418627711829], [2.285910758029854, 48.90421993187488], [2.286009707000137, 48.90426638708983], [2.286089681656266, 48.90430373576184], [2.28616424998668, 48.90433745533418], [2.286219793946948, 48.90436566454155], [2.286265852034444, 48.904389321864805], [2.286303825463636, 48.90440573530558], [2.28635257472037, 48.90443210636954], [2.28684170664356, 48.90467603710263], [2.287326786692405, 48.9049172435475], [2.28736741497962, 48.90493906905336], [2.287395887522153, 48.9049518287023], [2.287431096470731, 48.9049709235529], [2.287474475943564, 48.90499096738054], [2.287745499616365, 48.90512387902009], [2.287879585923522, 48.90519482378897], [2.287874203503903, 48.90518939541268], [2.28798398234259, 48.905242208497505]]], ""type"": ""MultiLineString""}";137_2015
D7;140;28560;21758;50318;30514;23733;54247;2520;9h-10h;2098;17h-18h;1659;10h-11h;1506;14h-15h;Asnières;Saint-Denis;Asnières;Courbevoie;ASNIERES;50318 (15);TOURNANT;ANNUELLE;2015;JANVIER;TUBES;2722.85450958;48.9172139786,2.31833544558;"{""coordinates"": [[[2.3107987387002, 48.91402523722485], [2.311256484775603, 48.9141816507866], [2.311999689528819, 48.91441974165785], [2.314394917747446, 48.915201481803265], [2.314601496930862, 48.915263816091006], [2.314812168449844, 48.91532617434938], [2.315124909331185, 48.915408900105064], [2.31537786631541, 48.915472398181684], [2.315992531801042, 48.915630589585554], [2.316404557665814, 48.91573815986222], [2.316718524887803, 48.915831680460364], [2.317132940522823, 48.91596534187528], [2.317654648908621, 48.91613738400271], [2.318233500713263, 48.91632233907816], [2.318422291840079, 48.91638906228952], [2.318551239020892, 48.91644105630864], [2.318852441061252, 48.91657226903782], [2.319067910817456, 48.91668590764565], [2.319325232052995, 48.91683395679995], [2.319513367577599, 48.91695103572596], [2.319678415694865, 48.91705988943131], [2.319871517745549, 48.917214767017086], [2.320017313084286, 48.917335202283304], [2.320200714018377, 48.917501715073726], [2.32038455112188, 48.91773927513849], [2.320637687717117, 48.9181040288957], [2.320856254434178, 48.91839934088969], [2.321088796696488, 48.91866955007606], [2.321275912010439, 48.91886575893545], [2.321424150536595, 48.91900868899817], [2.321418340283082, 48.91903563455972], [2.321582989000476, 48.919175959504784], [2.321808758560901, 48.919338212621135], [2.322553566537166, 48.919776789130744], [2.323232756277833, 48.92012056397761], [2.324050887469261, 48.92048400361184], [2.324530981992194, 48.9207133348074], [2.324868413303427, 48.92089509716194], [2.325373205884489, 48.92121988995982]], [[2.310831372111619, 48.914342880027576], [2.310963213804656, 48.91438141003389], [2.311285206903979, 48.914485781924924], [2.311880271784643, 48.914679854956006], [2.312116694483938, 48.91475495542525], [2.312158740308716, 48.91477408252219], [2.312423815972163, 48.91484934717014], [2.313167568489287, 48.91504696481073], [2.313246464530791, 48.915065402923055], [2.314044892568269, 48.91525613452917], [2.314580701994567, 48.915392297983665], [2.314879893282807, 48.91546775274847], [2.315096249323135, 48.91551305616971], [2.315323366498555, 48.915570110810286], [2.315887762947505, 48.91571182863416], [2.316112177684099, 48.915767067900546], [2.316384085249446, 48.91584236302168], [2.316850392956908, 48.915972724432166], [2.317139922933567, 48.91605711104722], [2.31782444099786, 48.91630022634729], [2.318241366336455, 48.916450984902305], [2.318515515727128, 48.91656405814666], [2.318766424682786, 48.916680595982974], [2.31899960795606, 48.91679613363486], [2.3192786532814, 48.916952399871626], [2.319546526607699, 48.917128387307244], [2.319732947522, 48.91727243463389], [2.319890434802184, 48.9174379018495], [2.319989015091705, 48.91751670101636], [2.320194624347454, 48.91775888115897], [2.320764534490683, 48.91852652151792], [2.320889385725874, 48.918683708098065], [2.321120906559063, 48.91892783251109], [2.321278661115934, 48.91907351412593], [2.321481290858562, 48.919231140311666], [2.321527682729234, 48.91923140278126], [2.321935202995583, 48.91947832019952], [2.322295496757948, 48.91968450031695], [2.322696541281023, 48.91990529822435], [2.32314406311139, 48.92012006264045], [2.324080159842539, 48.920541724139866], [2.324507237216214, 48.92075546837755], [2.324829704446184, 48.920933549387016], [2.325331920231201, 48.921246636926334]]], ""type"": ""MultiLineString""}";140_2015
D907;150;7082;8598;15680;7633;9421;17054;447;9h-10h;415;19h-20h;597;10h-11h;543;20h-21h;Boulogne;Province;Boulogne;Paris;BOULOGNE BILLANCOURT;15680 (15);SITER;ANNUELLE;2015;365J;BOUCLES;1032.44112153;48.8402647763,2.23361938708;"{""coordinates"": [[[2.240040534762954, 48.83969529491654], [2.239763590560153, 48.83971961656556], [2.237459307121289, 48.83992529689087], [2.235738925492037, 48.84007890422231], [2.235431965825749, 48.84010572212804], [2.233914938973655, 48.840235420152595], [2.232749773544163, 48.840342172749644], [2.231611971468245, 48.8404409959893]], [[2.231611971468245, 48.8404409959893], [2.23144181753347, 48.840430010272314], [2.230241499049891, 48.84051762621531], [2.23022100991704, 48.84052109185667], [2.229369609357995, 48.84060105089441], [2.229081876575284, 48.84061718407345], [2.228850095546988, 48.8406273819058]], [[2.231611971468245, 48.8404409959893], [2.231445069670047, 48.8404866917149], [2.23023886225207, 48.84060394941099], [2.229386084136124, 48.84068479870519], [2.229100703174272, 48.84072613029277], [2.228879447970044, 48.84076157864506]]], ""type"": ""MultiLineString""}";150_2015
D19;851;8865;11821;20686;9848;12693;22541;986;8h-9h;521;19h-20h;792;9h-10h;1074;18h-19h;Paris;Province;Province;Paris;ASNIERES;20686 (15);TOURNANT;TRIENNALE;2015;JANVIER;TUBES;875.15603524;48.9261759061,2.28511773184;"{""coordinates"": [[[2.285991771753058, 48.92267967532912], [2.285977571428151, 48.92272005984612], [2.28598123238059, 48.92275155727797], [2.286005116544557, 48.9228011612532], [2.286065942172133, 48.92284379054324], [2.286212118067364, 48.922931894479476], [2.286339622637338, 48.9229884105168]], [[2.286339622637338, 48.9229884105168], [2.28641188387224, 48.92299333772171], [2.286484353611255, 48.92298297756954]], [[2.286339622637338, 48.9229884105168], [2.286211216098048, 48.92329610658925], [2.28582353943585, 48.92399974948184], [2.285721282839889, 48.92419159000521], [2.285477205355094, 48.924574136853096], [2.285100920735041, 48.92524187298411], [2.284878655351319, 48.925625446952424], [2.284806907202608, 48.92578149746383], [2.284755667448889, 48.925934971873694], [2.284711001839175, 48.926106471866056], [2.284685095232379, 48.926303264141715], [2.284667512612701, 48.92649021367136], [2.284646483254766, 48.92672930199155], [2.284631710159201, 48.92730746367997], [2.284574276033909, 48.92880445404097], [2.284565179359922, 48.92926753848981], [2.284555646549699, 48.929464427834446], [2.284550334693184, 48.92995001716297], [2.284570666899291, 48.9301587751209]]], ""type"": ""MultiLineString""}";851_2015
D106;1970;7600;7875;15475;7674;8227;15901;355;11h-12h;672;19h-20h;653;9h-10h;481;18h-19h;Paris;Province;Province;Paris;LA GARENNE COLOMBES;15475 (15);TOURNANT;TRIENNALE;2015;MARS;TUBES;688.44842796;48.9081003785,2.25538734383;"{""coordinates"": [[[2.256241858766554, 48.9054953754283], [2.256199006074836, 48.905534680196276], [2.256132989955748, 48.90557204114997], [2.256045352068953, 48.9055948793132], [2.255957882456595, 48.90560602713758], [2.255870655953664, 48.905600089094406], [2.255790495987037, 48.90557710838147]], [[2.255790495987037, 48.90557710838147], [2.255722804280633, 48.905540714569], [2.255674249128964, 48.905501742805114], [2.255639644021861, 48.90544127264573]], [[2.254633696727481, 48.91119335469548], [2.254730676172755, 48.9108045541361], [2.254898390438971, 48.9102399271125], [2.255061390418942, 48.909623109700384], [2.255074325328494, 48.90957732548645], [2.255269160665537, 48.90892832951228], [2.255490617307041, 48.90813470873881], [2.255535774003615, 48.90783911401412], [2.255602202042847, 48.907391665520315], [2.255700010669465, 48.90637154592343], [2.255734997141731, 48.90602372567816], [2.255771785563563, 48.90564534054951], [2.255790495987037, 48.90557710838147]]], ""type"": ""MultiLineString""}";1970_2015
D109;2010;4113;5600;9713;4408;6097;10505;346;9h-10h;310;19h-20h;460;9h-10h;522;18h-19h;Paris;Province;Province;Paris;GENNEVILLIERS;9713 (15);TOURNANT;TRIENNALE;2015;JANVIER;TUBES;819.04684894;48.9287438867,2.29889241077;"{""coordinates"": [[[2.294658320249185, 48.92674188828687], [2.294877421756676, 48.926888864015496], [2.295003264254797, 48.926968742666276], [2.295056108895352, 48.92699693171372], [2.295130655116921, 48.92703514072825], [2.295317724761968, 48.92712886914988], [2.295573188957891, 48.92721130802451], [2.295985263606674, 48.92731894753909], [2.296322453073499, 48.92741355559568], [2.297195520450102, 48.927645303265585], [2.297596708167996, 48.92775107459489], [2.298094088096925, 48.92790956732569], [2.298115814471596, 48.9279177882437], [2.298417273378348, 48.928031066399264], [2.298977128206536, 48.92831402491869], [2.299161335972775, 48.9284185215237], [2.299185694193115, 48.92843395196708], [2.299467193359229, 48.928610960861164], [2.299517179673278, 48.928649023050724], [2.29964554509024, 48.92874509886981], [2.299892518249772, 48.928952481134225], [2.300113695688997, 48.92914981984521], [2.300242461503909, 48.929317840889084], [2.300444678663239, 48.92960589761805], [2.30059432840506, 48.92974346342645], [2.300708483103979, 48.92988172192006], [2.300852566166299, 48.930027349332775], [2.30085795266709, 48.93003277708234], [2.300960260216589, 48.93013859124497], [2.301145383646908, 48.93037888311649]], [[2.301145383646908, 48.93037888311649], [2.301219623840518, 48.930440468757254], [2.301327693977406, 48.930523833454814], [2.301396851056508, 48.93055751081708], [2.301466152107949, 48.930580397087105], [2.301489353935398, 48.93058053235854], [2.301590298534939, 48.93058471823332], [2.301707655857869, 48.93058630101727], [2.301822284922158, 48.93058786804834], [2.302021504605598, 48.93059172721853], [2.30214431002718, 48.93059424098977], [2.302237127198272, 48.93059388133454], [2.302297128827366, 48.9305978285169], [2.302412373853215, 48.930655155153524]], [[2.301822237130972, 48.93069308540416], [2.301707681786458, 48.9306861228601], [2.301583523893404, 48.93068270199874], [2.301466201306996, 48.930678420420314], [2.301415909789618, 48.930662839532175], [2.301368480642576, 48.93063738248311], [2.30132401162412, 48.93059485705253], [2.301278272922346, 48.93054512838928], [2.301199031527129, 48.930449341628595], [2.301145383646908, 48.93037888311649]]], ""type"": ""MultiLineString""}";2010_2015
D173;2245;11273;9510;20783;11719;9984;21703;1093;8h-9h;745;14h-15h;540;8h-9h;840;20h-21h;Vaucresson;Rueil Malmaison;Rueil Malmaison;Vaucresson;RUEIL MALMAISON;20783 (15);TOURNANT;TRIENNALE;2015;JUIN;TUBES;1398.80815269;48.8663479593,2.15501227574;"{""coordinates"": [[[2.150159372829076, 48.85959453590167], [2.150300936120054, 48.85968997503133], [2.150378927151695, 48.859755282927786], [2.150479692912967, 48.859845036105746], [2.150959502814937, 48.860345793095874], [2.151049073857045, 48.86045345381567], [2.151113360841106, 48.86055395521824]], [[2.153787544216843, 48.86439319386248], [2.153850276509536, 48.86447547926355], [2.153928984892212, 48.864581261690304], [2.153994165921886, 48.86468065272317], [2.154072467358086, 48.86481161483862], [2.154139790652522, 48.86494699475565], [2.154189701903755, 48.86506336561667], [2.154247164325065, 48.86521846323837], [2.154248469325508, 48.865222069343446], [2.154321869650827, 48.865487001539265], [2.15434497449145, 48.86557530254769], [2.154375862567466, 48.86568794148225], [2.15440006686159, 48.865792438909104], [2.154435379846831, 48.86588442342484], [2.154479942780882, 48.86599446115879], [2.154547386105095, 48.86612264775452], [2.154684585268301, 48.86632057716898], [2.154815816413724, 48.86646630190579], [2.154912337865709, 48.86656681292139], [2.15508424374801, 48.86672631466183], [2.155264226950134, 48.86689216910272], [2.155331271917358, 48.866960994099166], [2.155418458098679, 48.86704884700252], [2.155666867658119, 48.86728263557346], [2.155909696296798, 48.86752447861609], [2.155952484755526, 48.86757604389071], [2.156215682736951, 48.86790706706598], [2.156437821424862, 48.86816405160073], [2.156542397086318, 48.86827271259545], [2.156653730837935, 48.86838501773196], [2.156722317706088, 48.868443060048875], [2.156784277901897, 48.86848936398275], [2.156985288147209, 48.86862028865209], [2.157134717619957, 48.86873735836038], [2.157192502522664, 48.86878902939602], [2.157258029936756, 48.86886773497366], [2.157328122403444, 48.86900133442502], [2.157359542213864, 48.869081598759166], [2.157370545661696, 48.869159920274235], [2.157365438037955, 48.869222840221255], [2.157364739027785, 48.86926600400554], [2.15736963504451, 48.86938475433924], [2.157374186214069, 48.86944054749738], [2.1573793726276, 48.869541312012615]], [[2.156980528742198, 48.86941978780226], [2.157077887860177, 48.869216318394976], [2.157114377749251, 48.869151821535915], [2.157150275228986, 48.869039653760595], [2.157162052748702, 48.8689857752964], [2.157154936662026, 48.86892007136253], [2.157124821204618, 48.86884341393078], [2.157063325538355, 48.868768333419816], [2.156959718429001, 48.86868396342806], [2.156793727183036, 48.868579367556634], [2.156672444730699, 48.86849217421512], [2.156579670621033, 48.868412376426356], [2.156459145236383, 48.868278421178495], [2.156376059514288, 48.86818969801851], [2.156152557954211, 48.867932703369384], [2.155894782221939, 48.86760351763083], [2.155857315125692, 48.86756008374689], [2.155704269001718, 48.86741420649433], [2.155596868761336, 48.8673118212382], [2.155267477408029, 48.867027996121685], [2.15503777421163, 48.86681772180086], [2.154857778215102, 48.86665276625545], [2.154734345080215, 48.86653048113285], [2.154628720436292, 48.866402924297695], [2.154515413812796, 48.86624473561337], [2.154421235903732, 48.8660839830287], [2.154366104392109, 48.8659531851828], [2.154319107113407, 48.86582514335067], [2.154282927211773, 48.865702574423686], [2.154248636762023, 48.86554764086357], [2.154162262801845, 48.86524214596118], [2.154131302269605, 48.86513400318972], [2.154071187501459, 48.86497439103836], [2.153991916595082, 48.864819139264334], [2.153920300399946, 48.864696319530644], [2.15382174538157, 48.86455352306248], [2.153708152512316, 48.864413317554536]]], ""type"": ""MultiLineString""}";2245_2015
D180;2270;5260;4501;9761;5656;4799;10455;467;9h-10h;514;19h-20h;409;8h-9h;411;18h-19h;Paris;Province;Province;Paris;SAINT CLOUD;9761 (15);TOURNANT;TRIENNALE;2015;JUIN;TUBES;768.87223676;48.8532125119,2.20160796236;"{""coordinates"": [[[2.204862440062993, 48.85198503587274], [2.204947668196659, 48.85193703588472], [2.205224194861504, 48.851856131220146], [2.205281976479387, 48.851820540318236], [2.205301781056275, 48.85177300539641], [2.205299480266852, 48.851745109710635], [2.205297715404682, 48.851682141352796]], [[2.204862440062993, 48.85198503587274], [2.205183840314702, 48.851910724320746], [2.205497268072813, 48.85182286928961]], [[2.204862440062993, 48.85198503587274], [2.20447152900515, 48.85205978317263], [2.204274517896578, 48.85210973734042], [2.204115826902042, 48.85214915333764], [2.204010335265295, 48.85218532547079], [2.20390215965596, 48.85221878178806], [2.203741803152184, 48.852277973206384], [2.203645849633197, 48.852314208332984], [2.203596490073724, 48.85233366576508], [2.203360689042178, 48.852424731531244], [2.202829964770789, 48.85264064335583], [2.202587278689184, 48.85273615748085], [2.201718771034166, 48.8530271588133], [2.201441985108706, 48.85312424249421], [2.201233500568468, 48.85321098873215], [2.201160792481664, 48.85324198172656], [2.200773400293061, 48.85344175222493], [2.20045582195075, 48.85362130368822], [2.200395322413109, 48.85365597485475], [2.19986874048658, 48.85395554226677], [2.199823382510926, 48.85398042112169], [2.199691399171448, 48.85405508513946], [2.19932223588975, 48.85422079788937], [2.199278378415048, 48.85423669259102], [2.198673822727522, 48.85446558243193], [2.19859979031377, 48.854493866555636], [2.198366738657262, 48.85458224240176]], [[2.198366738657262, 48.85458224240176], [2.198295154424887, 48.85462852946452], [2.198239965967248, 48.85467222911184], [2.198161334031112, 48.85473375859806], [2.198195084860835, 48.85475466986769], [2.198213679764563, 48.85478627217561], [2.198216128257517, 48.85480427621325], [2.198206049585679, 48.854839284160846], [2.198175610803947, 48.85486875950279], [2.19812213097645, 48.85488998548992], [2.198071626144167, 48.854895043915796], [2.198033510048337, 48.8548920900512], [2.197994169747897, 48.85488013415287], [2.197964507114725, 48.8548592504278], [2.197949876406496, 48.85483576895593], [2.19793927905319, 48.854815911199005], [2.197941084813246, 48.85478714373281], [2.197957866219213, 48.85475937552887], [2.19798959716406, 48.8547344059955], [2.198032590599408, 48.85468612830604], [2.198232841231038, 48.85460382895959], [2.198366738657262, 48.85458224240176]]], ""type"": ""MultiLineString""}";2270_2015
D106;2000;12816;13820;26636;13176;14713;27889;588;9h-10h;1208;19h-20h;1304;8h-9h;828;14h-15h;Paris;Province;Province;Paris;COLOMBES;26636 (15);TOURNANT;TRIENNALE;2015;MARS;TUBES;372.33487354;48.9317641494,2.24336206505;"{""coordinates"": [[[2.244576226750415, 48.930978108939634], [2.244505866153179, 48.931029825110286], [2.244416423767375, 48.93107962193185], [2.244330998238134, 48.93113484013092], [2.244215285637521, 48.93120785255814], [2.243834804102167, 48.93146714931406], [2.243808781292727, 48.93147328015221]], [[2.243808781292727, 48.93147328015221], [2.243814528777913, 48.931453531641466], [2.243969527183826, 48.93130702397867], [2.244105875084908, 48.93112892337996], [2.244142405180901, 48.9310572100739], [2.244199378864526, 48.93098742413645], [2.244221516146364, 48.930966879289485], [2.244290237740754, 48.930934038540535], [2.244395834997672, 48.93089963193484]], [[2.243808781292727, 48.93147328015221], [2.243655682403525, 48.931582928303754], [2.242833919771503, 48.932151492649126], [2.242795286168729, 48.93218002641905], [2.242773240347586, 48.93219427536383], [2.242722205966813, 48.9322308243078], [2.242684990182107, 48.93225577002648], [2.241794297031195, 48.93286975524802]]], ""type"": ""MultiLineString""}";2000_2015
