code_pme;source;code_insee_commune;axe;pr_debut;abscisse_debut;pr_fin;abscisse_fin;sens_gestionnaire;sens_cardinal;sens_migratoire;sens_giratoire;longueur;nb_voies;x_deb;y_deb;x_fin;y_fin;code_traficolor
MUM76.h1;DIRNO;237676517;A28;76PR91D;800;76PR94D;840;1;NORD_SUD;Y;;3035;0;569981.6;6938140.0;568217.6;6935783.5;RO76
A0001011200;DIRN;;;;0;;;;;;;0;0;;;;;
MB631.B8;DIRSO;733131555;A620;31PR1G;751;31PR2G;604;1;SUD_NORD;W;INTERIEUR;834;0;572635.6;6284050.0;572555.0;6283074.0;TO31
MSR69.K1;DIRCE;;;;0;;;;;;;0;0;;;;;
MUM76.h2;DIRNO;237676517;A28;76PR91G;800;76PR94G;840;1;SUD_NORD;W;;3042;0;569985.7;6938129.5;568226.06;6935779.0;RO76
N0041010100;DIRN;;;;0;;;;;;;0;0;;;;;
MSR69.K2;DIRCE;;;;0;;;;;;;0;0;;;;;
MB233.Z1;DIRA;723333075;A630;33PR9D;578;33PR10D;301;1;NORD_SUD;Y;EXTERIEUR;1044;0;414977.0;6427725.0;414033.0;6427032.0;BX33
MYL42.R1;DIRCE;824242095;N88;42PR49D;150;42PR51D;200;1;NORD_SUD;Y;;2053;0;801030.56;6477775.5;799703.25;6476555.5;ST42
MB233.Z2;DIRA;723333075;A630;33PR9G;600;33PR10G;302;1;SUD_NORD;W;INTERIEUR;1011;0;414975.0;6427706.0;414050.0;6427023.0;BX33
MB133.Q2;DIRA;;;;;;;;;;;0;0;;;;;
MM313.k2;DIRMED;931313055;A50;13PR5G;252;13PR5G;752;1;EST_OUEST;W;;500;0;899131.0;6246749.0;899131.0;6246749.0;MA13
MYP69.H1;GRAND LYON;826969029;69D0383;69PR8D;834;69PR9D;475;1;NORD_SUD;Y;INTERIEUR;631;0;848232.6;6518211.5;848058.0;6517237.5;LY69
MYP69.H2;GRAND LYON;826969029;69D0383;69PR8G;368;69PR9G;248;1;SUD_NORD;W;EXTERIEUR;874;0;848245.25;6518210.5;848076.1;6517231.0;LY69
MYP69.H3;DIRCE;;;;0;;;;;;;0;0;;;;;
A9022010250;DIRN;;;;0;;;;;;;0;0;;;;;
